sub,harm1,harm2,harm3,fairness1,fairness2,fairness3,Ingroup1,Ingroup2,Ingroup3,Authority1,Authority2,Authority3,Purity1,Purity2,Purity3,sise,E,A_R,C,N_R,O,E_R,A,C_R,N,O_R,mood,subjwell,cogref.1,cogref.2,cogref.3,politics,Country,Weird,Execution
2600,4,5,3,5,4,4,3,5,3,5,3,5,5,4,3,4,7,5,6,6,5,7,5,6,6,5,3,9,1,1,0,3,Sweden,1,illegal
7135,5,4,6,3,4,4,5,5,5,2,4,2,4,5,5,4,3,3,6,2,3,5,6,5,6,5,3,7,1,1,0,6,USA,1,legal
622,6,3,5,6,6,5,5,5,5,2,4,4,4,2,4,2,5,6,6,7,6,4,4,4,2,3,4,9,0,1,0,5,USA,1,legal
6186,5,5,4,5,5,5,5,3,5,3,5,6,5,6,6,5,5,3,6,2,5,6,5,3,6,3,3,9,0,1,0,5,USA,1,legal
6128,5,5,5,6,6,3,6,6,6,5,4,5,4,4,5,4,5,3,5,4,6,6,6,3,5,5,3,8,0,1,0,4,USA,1,legal
4792,5,5,5,5,4,6,5,6,5,3,4,5,5,3,5,3,6,6,6,5,6,4,6,3,3,4,5,9,0,1,0,2,USA,1,legal
6277,5,5,5,6,6,5,4,6,6,2,5,5,5,6,6,3,1,6,7,7,5,7,7,3,NA,5,3,8,0,1,0,2,USA,1,legal
5204,5,4,5,5,5,4,3,5,4,1,4,3,3,3,4,2,3,2,5,6,4,7,7,1,3,4,3,9,0,1,0,5,USA,1,legal
1777,6,5,5,6,4,5,6,5,4,2,3,3,4,2,3,4,7,5,5,3,7,1,6,5,5,4,3,7,1,0,0,3,USA,1,legal
2883,5,4,5,4,5,4,4,2,6,2,5,3,4,4,3,2,3,4,5,4,6,5,5,2,3,6,4,7,0,0,0,4,USA,1,legal
5842,5,5,3,4,5,6,5,5,5,1,4,4,3,3,4,3,5,4,6,4,7,4,5,2,4,4,3,8,0,0,0,6,United Arab Emirates,0,legal
4989,5,4,3,5,5,6,5,5,3,2,3,4,5,4,5,3,6,6,6,4,6,5,6,6,5,3,3,6,0,0,0,5,USA,1,legal
155,4,4,3,5,5,5,5,4,6,2,4,4,4,3,5,3,3,4,6,2,4,6,5,4,7,3,4,10,1,0,0,4,UK,1,illegal
4693,1,6,1,4,2,4,3,4,6,1,5,3,1,1,3,3,5,1,7,7,7,5,5,4,4,4,3,7,0,0,0,4,UK,1,illegal
4816,6,6,6,6,6,6,4,5,4,4,4,3,4,3,3,2,3,3,6,3,3,6,6,6,3,4,4,7,0,0,0,4,Canada,1,illegal
677,6,4,5,5,5,5,4,4,4,2,4,5,3,5,4,4,6,1,5,1,7,4,7,5,7,1,2,9,0,0,0,7,USA,1,legal
1397,6,6,4,4,5,2,5,5,3,3,3,5,5,2,3,5,5,4,6,2,7,1,6,2,5,1,3,8,1,0,0,1,USA,1,legal
4668,5,4,5,5,5,5,5,4,5,4,5,5,4,4,5,4,6,2,6,2,6,2,5,4,5,6,5,10,0,0,0,4,USA,1,legal
4951,6,6,4,5,5,6,6,4,6,4,6,6,3,5,6,4,5,5,6,5,6,5,7,5,5,3,4,8,1,1,0,5,Belgium,1,illegal
1620,5,5,6,4,5,5,5,3,5,4,3,4,5,4,4,2,6,3,5,2,6,1,7,2,6,5,4,9,0,1,0,7,Belgium,1,illegal
6381,6,6,6,6,5,5,5,5,5,4,4,4,5,5,6,4,6,1,7,3,6,1,7,4,6,1,3,7,0,0,0,4,Hungary,1,illegal
4664,2,6,4,5,3,4,3,2,2,3,5,3,2,4,2,2,3,4,5,4,3,4,5,4,3,4,3,4,0,0,0,5,Hungary,1,illegal
5418,2,4,1,1,6,3,2,4,2,1,3,2,3,1,1,5,4,4,4,4,5,4,4,4,5,3,2,2,0,1,0,4,Hungary,1,illegal
2751,5,4,4,5,4,4,4,5,4,4,4,5,5,5,5,3,6,5,6,6,5,5,6,5,5,5,4,7,0,0,0,1,Sweden,1,illegal
1392,5,3,5,4,5,6,5,5,3,5,6,4,5,4,4,4,5,3,7,3,5,2,6,3,4,1,3,3,0,0,0,5,Czech Republic,1,illegal
1970,2,2,2,2,4,5,3,2,3,2,4,2,4,3,3,3,5,4,5,3,6,6,6,5,5,2,4,8,1,0,0,4,Hungary,1,illegal
204,5,5,5,6,5,6,4,2,4,2,4,4,5,5,3,3,6,5,4,5,6,5,5,4,5,2,4,7,1,0,0,4,Canada,1,illegal
3935,1,1,4,6,5,4,4,3,4,4,1,4,3,4,2,4,6,5,7,3,5,2,6,6,4,5,3,7,1,0,0,4,Hungary,1,illegal
4105,5,3,5,5,5,5,1,3,3,1,4,3,3,3,3,4,4,4,3,2,5,4,4,5,5,4,4,6,1,0,0,4,USA,1,legal
6938,6,6,6,4,6,5,5,2,5,3,4,3,3,4,4,2,1,5,5,6,5,7,6,5,3,3,5,10,0,0,0,6,India,0,legal
1944,6,6,6,6,6,6,6,3,5,3,6,6,6,6,6,4,6,2,6,1,6,1,5,2,6,1,3,7,0,0,0,5,Canada,1,illegal
6596,6,4,6,4,4,4,6,3,3,4,6,5,4,4,5,5,6,4,6,5,5,1,6,5,5,4,3,8,0,0,0,4,The Netherlands,1,illegal
4511,6,6,5,5,6,6,4,1,4,2,3,2,4,3,5,5,6,1,7,1,7,1,7,2,6,1,4,9,0,0,0,6,USA,1,legal
5303,6,5,6,5,6,6,5,1,5,5,4,3,3,3,4,3,2,4,6,4,6,6,7,3,6,2,5,10,0,0,0,3,USA,1,legal
542,6,6,6,6,6,5,1,4,1,1,5,5,3,2,2,5,7,6,6,6,7,1,5,1,7,1,3,3,0,0,0,4,Canada,1,illegal
2188,5,5,4,6,4,2,2,4,2,2,3,2,2,4,2,3,4,7,6,2,7,5,7,5,1,1,4,8,0,0,0,2,USA,1,legal
6344,5,5,6,5,3,6,5,2,6,3,3,4,4,5,4,3,5,5,6,5,4,5,3,6,5,5,3,7,0,1,0,2,USA,1,legal
7102,5,5,5,4,3,4,3,4,2,2,3,2,2,4,5,3,2,3,5,5,4,6,5,5,4,5,3,5,0,1,0,2,USA,1,legal
5236,5,5,6,6,6,3,5,2,3,2,2,4,3,5,5,3,5,5,6,2,5,4,5,2,7,3,3,9,0,1,0,4,USA,1,legal
5290,5,6,6,6,6,6,4,5,4,3,4,4,3,5,5,3,5,3,6,4,6,5,6,4,4,2,3,5,0,1,0,3,USA,1,legal
2802,6,6,5,5,1,5,5,3,5,1,6,3,3,5,4,2,7,5,1,6,6,3,4,5,3,4,4,9,1,0,0,4,USA,1,legal
5773,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,5,7,7,7,4,NA,4,7,7,7,7,4,7,1,0,0,4,USA,1,legal
1454,4,3,5,3,4,3,4,2,4,3,4,3,2,3,4,3,5,4,3,4,5,3,5,4,4,3,4,10,1,0,0,5,India,0,legal
4807,6,5,6,5,5,6,4,4,4,2,4,4,4,4,4,3,3,5,6,5,6,5,7,3,6,5,3,8,1,0,0,5,USA,1,legal
3158,2,5,6,1,5,6,5,1,4,1,6,5,6,6,5,2,6,5,6,4,6,3,6,1,2,1,3,8,1,0,0,4,India,0,legal
3550,5,3,5,5,5,5,3,2,5,2,5,5,5,5,5,5,3,4,6,5,7,5,5,1,7,2,3,8,1,0,0,4,India,0,legal
6497,6,5,6,5,5,5,4,4,4,2,5,5,3,4,6,4,4,4,7,5,4,6,6,1,6,2,4,8,1,0,0,5,The Netherlands,1,illegal
2023,4,4,3,4,5,6,2,5,5,3,4,2,4,5,5,4,6,4,4,1,6,2,6,6,6,4,4,4,1,0,0,2,South Africa,0,illegal
1104,5,4,5,4,3,3,3,2,2,2,4,4,4,1,5,4,6,4,6,2,5,3,6,6,5,7,3,3,1,0,0,3,Turkey,0,illegal
543,6,6,6,6,6,5,5,6,5,1,5,5,6,4,6,3,6,1,5,4,6,2,7,3,NA,1,4,9,1,0,0,4,Canada,1,illegal
4502,5,4,5,5,5,5,4,2,4,1,5,2,3,3,5,3,3,5,6,6,6,5,4,2,4,3,2,7,1,0,0,3,USA,1,legal
2483,2,5,2,5,5,2,5,5,5,6,5,5,1,2,1,4,6,1,6,1,5,6,1,1,6,1,3,7,1,0,0,5,India,0,legal
7001,6,5,6,6,5,6,2,1,2,1,2,1,1,1,1,3,2,4,4,5,5,5,4,4,4,2,5,10,1,0,0,3,India,0,legal
6118,6,5,6,5,5,5,5,5,4,3,4,5,3,4,5,4,6,5,6,5,5,3,5,5,4,5,3,3,1,0,0,3,Belgium,1,illegal
6781,6,6,6,6,6,5,4,6,4,2,4,3,6,6,6,3,2,1,5,3,5,6,6,3,6,2,3,8,1,0,0,3,The Netherlands,1,illegal
6871,6,3,6,5,6,6,4,1,3,1,5,4,4,5,4,2,1,2,3,5,2,7,3,3,6,6,5,7,1,0,0,4,India,0,legal
2530,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1,6,2,6,6,6,1,6,1,3,6,1,0,0,2,Switzerland,1,illegal
2557,5,6,6,6,5,5,5,5,4,4,4,4,4,6,4,5,6,1,6,1,5,2,7,1,6,1,5,10,1,0,0,2,Switzerland,1,illegal
2569,5,3,4,4,5,5,3,5,4,2,4,5,3,5,3,4,6,6,5,6,6,5,6,6,5,6,3,9,1,0,0,4,Switzerland,1,illegal
2585,5,6,5,5,5,5,6,6,2,5,4,6,5,4,5,2,7,2,7,2,6,1,7,2,7,4,3,6,1,0,0,4,Switzerland,1,illegal
2691,5,2,4,2,3,2,3,3,3,1,5,4,2,4,2,4,5,4,3,3,4,5,5,5,6,5,4,9,1,0,0,4,Switzerland,1,illegal
6156,6,6,4,4,5,4,5,6,6,4,2,4,2,4,5,4,4,5,6,2,7,6,7,5,6,2,4,8,1,0,0,1,Switzerland,1,illegal
6196,6,6,6,6,6,5,5,5,5,4,4,6,5,5,4,4,6,4,5,2,6,6,6,5,6,4,2,3,1,0,0,2,Switzerland,1,illegal
6229,6,4,6,6,6,5,6,5,6,3,3,6,5,4,6,5,7,1,7,1,7,4,5,1,4,4,4,7,1,0,0,4,Switzerland,1,illegal
7190,6,6,6,4,4,5,4,3,4,5,4,3,5,5,5,3,5,5,6,7,5,4,5,3,3,3,4,9,1,0,0,2,Switzerland,1,illegal
162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,3,5,1,1,3,2,2,3,6,1,0,0,2,Switzerland,1,illegal
5244,6,6,6,5,6,6,4,5,4,2,5,6,4,4,6,5,7,2,7,6,7,2,6,4,6,2,4,8,1,0,0,2,USA,1,legal
584,6,6,6,6,6,6,3,6,4,3,3,6,5,3,5,4,5,1,6,4,6,5,6,1,5,1,3,6,1,0,0,3,USA,1,legal
5250,5,5,5,4,5,5,4,5,5,4,5,4,4,5,4,3,5,5,5,5,5,3,5,4,3,5,4,5,0,0,0,2,Sweden,1,illegal
6337,6,6,5,5,6,5,6,6,5,2,5,4,3,4,4,4,4,4,5,3,6,5,5,2,6,4,4,10,0,0,0,2,USA,1,legal
1315,4,4,5,2,5,3,3,5,3,5,4,2,3,3,3,2,4,1,3,2,5,3,4,4,2,2,3,5,0,0,0,4,Portugal,1,illegal
1187,4,4,4,4,3,5,5,6,5,4,2,4,5,3,5,5,5,5,5,6,5,3,5,3,3,4,4,8,0,0,0,6,India,0,legal
3444,5,5,5,5,6,4,5,1,4,5,4,4,5,5,5,4,6,6,7,2,6,5,6,1,6,3,4,6,0,0,0,4,India,0,legal
4478,4,3,5,4,5,5,5,3,5,4,5,3,4,5,4,4,6,5,5,6,6,2,6,5,1,1,3,4,0,0,0,4,USA,1,legal
5807,5,3,4,5,4,5,6,2,5,4,4,4,4,5,5,2,6,2,6,4,5,2,6,2,4,3,2,6,0,0,0,4,USA,1,legal
3658,6,5,6,5,6,5,6,5,6,4,5,6,3,6,5,5,6,3,7,2,7,6,6,2,6,2,3,7,0,0,0,4,Canada,1,illegal
2545,1,3,2,1,5,1,1,2,5,3,1,1,1,1,1,5,4,3,4,3,4,4,5,5,4,4,2,6,0,0,0,4,Hungary,1,illegal
4834,6,4,6,6,6,4,5,4,4,3,5,5,3,3,5,4,6,6,7,6,7,1,7,1,6,4,3,6,0,0,0,2,USA,1,legal
1536,6,5,5,3,5,4,3,1,4,2,5,4,3,5,4,4,5,5,7,2,5,6,5,1,3,2,3,5,0,0,0,4,USA,1,legal
1668,6,6,5,4,6,6,5,2,5,3,4,5,4,5,5,3,2,5,2,6,7,6,7,3,3,1,3,6,0,0,0,4,Canada,1,illegal
